"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"1305";"«Ул. Марш. Соколовского», улица Маршала Соколовского (1305)";"37.48719159";"55.79300964";"улица Маршала Соколовского";"Северо-Западный административный округ";"район Щукино";"А253; А681";"Ул. Марш. Соколовского";"";"нет";"";"активна";"889086214";"{type=Point, coordinates=[37.48719159, 55.79300964]}";
"1306";"«52-я гор. б-ца», улица Маршала Бирюзова (1306)";"37.48263199";"55.79925288";"улица Маршала Бирюзова";"Северо-Западный административный округ";"район Щукино";"А100; А253; А681";"52-я гор. б-ца";"";"да";"ГУП «Мосгортранс»";"активна";"889086215";"{type=Point, coordinates=[37.48263199, 55.79925288]}";
"1307";"«Ул. Марш. Бирюзова», улица Маршала Бирюзова (1307)";"37.47899971";"55.80115514";"улица Маршала Бирюзова";"Северо-Западный административный округ";"район Щукино";"А100; А253; А681";"Мед. центр им. Бурназяна";"";"да";"ГУП «Мосгортранс»";"активна";"889086216";"{type=Point, coordinates=[37.47899971, 55.80115514]}";
"1308";"«Ул. Маршала Новикова», улица Маршала Новикова (1308)";"37.46611499";"55.80308324";"улица Маршала Новикова";"Северо-Западный административный округ";"район Щукино";"А253";"Ул. Маршала Новикова";"";"да";"ГУП «Мосгортранс»";"активна";"889086217";"{type=Point, coordinates=[37.46611499, 55.80308324]}";
"1309";"«Поликлиника № 79», улица Маршала Новикова (1309)";"37.4622535";"55.80472995";"улица Маршала Новикова";"Северо-Западный административный округ";"район Щукино";"А253";"Ул. Маршала Новикова";"";"да";"ГУП «Мосгортранс»";"активна";"889086218";"{type=Point, coordinates=[37.4622535, 55.80472995]}";
"1310";"«Новощукинская ул.», Авиационная улица (1310)";"37.4596815";"55.8091509";"Авиационная улица";"Северо-Западный административный округ";"район Щукино";"А100; А105; А253; А800";"Пл. Акад. Курчатова";"";"да";"ГУП «Мосгортранс»";"активна";"889086219";"{type=Point, coordinates=[37.4596815, 55.8091509]}";
"1311";"«Мед. центр им. Бурназяна», улица Маршала Новикова (1311)";"37.45886443";"55.80587723";"улица Маршала Новикова";"Северо-Западный административный округ";"район Щукино";"А253";"Мед. центр им. Бурназяна";"";"да";"ГУП «Мосгортранс»";"активна";"889086220";"{type=Point, coordinates=[37.45886443, 55.80587723]}";
"1312";"«Поликлиника № 79», улица Маршала Новикова (1312)";"37.46330892";"55.80403821";"улица Маршала Новикова";"Северо-Западный административный округ";"район Щукино";"А253";"Поликлиника № 79";"";"да";"ГУП «Мосгортранс»";"активна";"889086221";"{type=Point, coordinates=[37.46330892, 55.80403821]}";
"1313";"«Ул. Маршала Новикова», улица Маршала Новикова (1313)";"37.46726851";"55.80238212";"улица Маршала Новикова";"Северо-Западный административный округ";"район Щукино";"А253";"Метро Октябрьское поле";"";"да";"ГУП «Мосгортранс»";"активна";"889086222";"{type=Point, coordinates=[37.46726851, 55.80238212]}";
"1314";"«Пл. Акад. Курчатова», улица Маршала Бирюзова (1314)";"37.47754114";"55.80161489";"улица Маршала Бирюзова";"Северо-Западный административный округ";"район Щукино";"А100; А253; А681";"Пл. Акад. Курчатова";"";"да";"ГУП «Мосгортранс»";"активна";"889086223";"{type=Point, coordinates=[37.47754114, 55.80161489]}";
"1315";"«Ул. Марш. Бирюзова», улица Маршала Бирюзова (1315)";"37.48055614";"55.80006247";"улица Маршала Бирюзова";"Северо-Западный административный округ";"район Щукино";"А100; А253; А681";"Ул. Марш. Бирюзова";"";"да";"ГУП «Мосгортранс»";"активна";"889086224";"{type=Point, coordinates=[37.48055614, 55.80006247]}";
"1316";"«52-я гор. б-ца», улица Маршала Бирюзова (1316)";"37.48382342";"55.7983622";"улица Маршала Бирюзова";"Северо-Западный административный округ";"район Щукино";"А100; А253";"52-я гор. б-ца";"";"нет";"";"активна";"889086225";"{type=Point, coordinates=[37.48382342, 55.7983622]}";
"1317";"«Метро Октябрьское поле», улица Маршала Бирюзова (1317)";"37.49036031";"55.79525995";"улица Маршала Бирюзова";"Северо-Западный административный округ";"район Щукино";"А100; А253; А681";"Метро Октябрьское поле";"";"да";"ГУП «Мосгортранс»";"активна";"889086226";"{type=Point, coordinates=[37.49036031, 55.79525995]}";
"1318";"«Ул. Марш. Вершинина, 8», улица Маршала Вершинина (1318)";"37.48628453";"55.79195167";"улица Маршала Вершинина";"Северо-Западный административный округ";"район Щукино";"А253";"Ул. Марш. Вершинина, 8";"";"да";"ГУП «Мосгортранс»";"активна";"889086227";"{type=Point, coordinates=[37.48628453, 55.79195167]}";
"1319";"«Ул. Берзарина», улица Берзарина (1319)";"37.46454373";"55.79071081";"улица Берзарина";"Северо-Западный административный округ";"район Щукино";"А253; А26";"Ул. Берзарина";"";"да";"ГУП «Мосгортранс»";"активна";"889086228";"{type=Point, coordinates=[37.46454373, 55.79071081]}";
"1320";"«Живописная ул.», улица Берзарина (1320)";"37.4568850578";"55.7916140697";"улица Берзарина";"Северо-Западный административный округ";"район Щукино";"А253";"Живописная ул.";"";"нет";"";"активна";"889086229";"{type=Point, coordinates=[37.4568850578, 55.7916140697]}";
"1321";"«Бассейн», улица Паршина (1321)";"37.45518738";"55.78908248";"улица Паршина";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А253; А60";"Бассейн";"";"да";"ГУП «Мосгортранс»";"активна";"889086230";"{type=Point, coordinates=[37.45518738, 55.78908248]}";
"1322";"«Ул. Паршина», улица Паршина (1322)";"37.46357504";"55.78948567";"улица Паршина";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А253; А60";"Ул. Паршина";"";"да";"ГУП «Мосгортранс»";"активна";"889086231";"{type=Point, coordinates=[37.46357504, 55.78948567]}";
"1323";"«Кадетский корпус», улица Маршала Тухачевского (1323)";"37.4621665";"55.78536979";"улица Маршала Тухачевского";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155; А253; Тб35; А60";"Кадетский корпус";"";"да";"ГУП «Мосгортранс»";"активна";"889086232";"{type=Point, coordinates=[37.4621665, 55.78536979]}";
"1324";"«Ул. Марш. Тухачевского, 61», улица Маршала Тухачевского (1324)";"37.4570432";"55.783763";"улица Маршала Тухачевского";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155; А253; Тб35; А60";"Ул. Марш. Тухачевского, 61";"";"да";"ГУП «Мосгортранс»";"активна";"889086233";"{type=Point, coordinates=[37.4570432, 55.783763]}";
"1325";"«Просп. Марш. Жукова», Живописная улица (1325)";"37.45366888";"55.77948226";"Живописная улица";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А155; А253; А60";"Просп. Марш. Жукова";"";"нет";"";"активна";"889086234";"{type=Point, coordinates=[37.45366888, 55.77948226]}";
"1326";"«Неманский пр., 11», Мякининский проезд (1326)";"37.39275198";"55.80796525";"Мякининский проезд";"Северо-Западный административный округ";"район Строгино";"А631; А638; А640; А743; АС11";"Неманский пр., 11";"";"да";"ГУП «Мосгортранс»";"активна";"889086235";"{type=Point, coordinates=[37.39275198, 55.80796525]}";
"1327";"«Ул. Кулакова, 19», улица Кулакова (1327)";"37.39475181";"55.80700669";"улица Кулакова";"Северо-Западный административный округ";"район Строгино";"А631; А640; А652; А743";"Ул. Твардовского, 21";"";"да";"ГУП «Мосгортранс»";"активна";"889086236";"{type=Point, coordinates=[37.39475181, 55.80700669]}";
"1328";"«Строгинский бульв.», улица Кулакова (1328)";"37.39342509";"55.80510476";"улица Кулакова";"Северо-Западный административный округ";"район Строгино";"А310; А626; А640; А654; А782; АС11";"Строгинский бульв.";"";"да";"ГУП «Мосгортранс»";"активна";"889086237";"{type=Point, coordinates=[37.39342509, 55.80510476]}";
"1331";"«Ул. Твардовского, 3», улица Твардовского (1331)";"37.3927733262";"55.795863694";"улица Твардовского";"Северо-Западный административный округ";"район Строгино";"А640; А652; А743; А782";"Ул. Твардовского, 3";"";"да";"ГУП «Мосгортранс»";"активна";"889086238";"{type=Point, coordinates=[37.3927733262, 55.795863694]}";
